name,nada,stk,make,model,year,odometer,age,cost
2011 Cadillac CTS Base 4dr Rear-wheel Drive Sed,17975,P107363,Cadillac,CTS,2011,39649,171,19262.59
2015 Hyundai Santa Fe Sport 2.4L (A6) 4dr Front-wheel Dri,18650,P247958,Hyundai,Santa Fe Sport,2015,28342,52,19023.64
2014 Hyundai Santa Fe Sport 2.4L (A6) 4dr All-wheel Drive,18325,P152472,Hyundai,Santa Fe Sport,2014,34779,60,18958.21
2015 Chevrolet Impala LS w/1FL 4dr Sedan,18775,P206630,Chevrolet,Impala,2015,23955,33,18878.15
2014 Chevrolet Camaro LS w/2LS 2dr Coupe,15525,C104564A,Chevrolet,Camaro,2014,43841,59,18089.3
2014 Jeep Compass Limited 4dr 4x4,17200,P683980,Jeep,Compass,2014,53860,67,17624.69
2015 Hyundai Tucson Limited (A6) 4dr Front-wheel,17075,P042893,Hyundai,Tucson,2015,39099,52,17585.77
2015 Chrysler 200 C 4dr Front-wheel Drive Sedan,15300,P593669,Chrysler,200,2015,34186,172,17444.94
2015 Chevrolet Malibu LT w/1LT 4dr Sedan,16625,P263847,Chevrolet,Malibu,2015,13547,60,17415.86
2014 Ford Fusion SE 4dr Front-wheel Drive Seda,16375,P389063,Ford,Fusion,2014,17602,45,16918.76
2015 Chevrolet Malibu LT w/1LT 4dr Sedan,15950,P125028,Chevrolet,Malibu,2015,23010,47,16908.73
2015 Chevrolet Spark LT w/1LT CVT 4dr Hatchback,16165,C811301,Chevrolet,Spark,2015,11,172,16617.49
2012 Chevrolet Camaro 2LT 2dr Coupe,15775,C123421B,Chevrolet,Camaro,2012,71743,9,16330
2014 Dodge Charger SE 4dr Rear-wheel Drive Sedan,17175,P322149,Dodge,Charger,2014,29021,3,15900
2011 Honda CR-V EX-L (A5) 4dr Front-wheel Dri,15275,P127123A,Honda,CR-V,2011,84936,20,15862.61
2011 Dodge Ram 1500 SLT 4x2 Regular Cab 120 in. W,12925,P558002,Dodge,Ram 1500,2011,62751,32,15860.27
2015 Chevrolet Malibu LS w/1LS 4dr Sedan,14400,C175913A,Chevrolet,Malibu,2015,22610,23,15848.15
2015 Kia Optima LX 4dr Sedan,15750,P570795,Kia,Optima,2015,17370,3,15685
2010 Toyota FJ Cruiser Base (A5) 4dr 4x2,17675,P655668A,Toyota,FJ Cruiser,2010,135891,44,15672.92
2015 Chevrolet Cruze 2LT Auto 4dr Sedan,14475,P116400,Chevrolet,Cruze,2015,19497,33,15515.69
2015 Kia Optima LX 4dr Sedan,15450,P576977,Kia,Optima,2015,24616,3,15485
2015 Chevrolet Sonic LT Auto 4dr Sedan,13475,C177156,Chevrolet,Sonic,2015,3,355,15352.07
2015 Chevrolet Cruze 2LT Auto 4dr Sedan,15700,P137441,Chevrolet,Cruze,2015,25614,117,15345.35
2016 Chevrolet Spark LS CVT 4dr Hatchback,14887,C576010,Chevrolet,Spark,2016,11,39,15300.26
2016 Chevrolet Spark LS CVT 4dr Hatchback,14882,C558724,Chevrolet,Spark,2016,11,62,15295.26
2016 Chevrolet Spark LS CVT 4dr Hatchback,14882,C584497,Chevrolet,Spark,2016,10,24,15295.26
2013 Chrysler 200 Touring 4dr Sedan,10475,P554291,Chrysler,200,2013,47283,185,14646.4
2015 Chevrolet Sonic LT Auto 4dr Sedan,13475,C141837,Chevrolet,Sonic,2015,6,461,14642.18
2012 Toyota Camry L 4dr Sedan,14150,P185036,Toyota,Camry,2012,34884,3,14485
2015 Chevrolet Cruze 1LT Auto 4dr Sedan,13425,P185095,Chevrolet,Cruze,2015,22396,5,14017.16
2013 Honda Civic LX (A5) 4dr Sedan,11800,P076931,Honda,Civic,2013,44015,113,13894
2015 Kia Soul + (A6) 4dr Hatchback,14400,P178602,Kia,Soul,2015,21039,3,13875
2013 Toyota Corolla L (A4) 4dr Sedan,11250,P175150,Toyota,Corolla,2013,44038,185,13286.05
2014 Chevrolet Impala,12575,C296787A,Chevrolet,Impala,2014,46031,6,13205.85
2013 Ford Focus Titanium 4dr Sedan,11950,P121020,Ford,Focus,2013,38761,60,12799
2015 Hyundai Elantra SE (A6) 4dr Sedan,12850,P636734,Hyundai,Elantra,2015,26113,3,12460
2014 Chevrolet Cruze,12025,P405592,Chevrolet,Cruze,2014,36297,33,12371.56
2015 Nissan Versa Note S 4dr Hatchback,10025,P368869,Nissan,Versa Note,2015,41754,52,12151.02
2014 Chevrolet Cruze,11525,P402575,Chevrolet,Cruze,2014,45888,5,11577.72
2009 GMC Acadia SLE-1 Front-wheel Drive,10100,P295546A,GMC,Acadia,2009,96638,22,11505
2013 Dodge Dart SXT/Rallye 4dr Sedan,8925,P171098,Dodge,Dart,2013,69470,18,11448.82
2014 Volkswagen Jetta 1.8T SE w/PZEV (A6) 4dr Sedan,10775,P293299,Volkswagen,Jetta,2014,43027,3,11205
2014 Chevrolet Cruze,11525,P407410,Chevrolet,Cruze,2014,45546,5,11199.56
2013 Kia Forte EX (A6) 4dr Sedan,8900,P694709,Kia,Forte,2013,52599,18,11171.68
2011 Toyota Corolla LE (A4) 4dr Sedan,8075,C125163A,Toyota,Corolla,2011,60492,41,10224.09
2009 MINI Cooper S Base 2dr Hatchback,6450,C264117A,MINI,Cooper S,2009,99284,188,9431.09
2012 Chevrolet Cruze LS 4dr Sedan,8250,C251051A,Chevrolet,Cruze,2012,63459,36,8889.12
2008 Audi A4 2.0T (M6) 4dr Front-wheel Dri,6950,C187445A,Audi,A4,2008,114847,23,6645.22
2009 Chevrolet Malibu LS 4dr Sedan,6575,C126754A,Chevrolet,Malibu,2009,78132,2,6000
